"행정구역","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율"
"서울특별시 용산구 서빙고동(1117069000)","12,540","5,109","          2.45","6,029","6,511","          0.93"
"서울특별시 용산구 보광동(1117070000)","12,692","7,049","          1.80","6,338","6,354","          1.00"
"서울특별시 성동구 (1120000000)","280,474","133,517","          2.10","136,361","144,113","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","16,299","7,407","          2.20","7,855","8,444","          0.93"
"서울특별시 성동구 왕십리도선동(1120053500)","26,401","12,176","          2.17","12,433","13,968","          0.89"
"서울특별시 성동구 마장동(1120054000)","22,014","10,945","          2.01","10,857","11,157","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,000","8,176","          1.47","6,285","5,715","          1.10"
"서울특별시 성동구 행당제1동(1120056000)","13,700","6,456","          2.12","6,585","7,115","          0.93"
"서울특별시 성동구 행당제2동(1120057000)","22,975","9,234","          2.49","10,719","12,256","          0.87"
"서울특별시 성동구 응봉동(1120058000)","14,997","5,948","          2.52","7,128","7,869","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","15,006","6,535","          2.30","7,164","7,842","          0.91"
"서울특별시 성동구 금호2.3가동(1120061500)","22,202","9,937","          2.23","10,610","11,592","          0.92"
"서울특별시 성동구 금호4가동(1120062000)","14,177","6,348","          2.23","6,714","7,463","          0.90"
"서울특별시 성동구 옥수동(1120064500)","25,534","10,748","          2.38","11,851","13,683","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","15,904","7,568","          2.10","7,906","7,998","          0.99"
"서울특별시 성동구 성수1가제2동(1120066000)","12,149","5,968","          2.04","5,928","6,221","          0.95"
"서울특별시 성동구 성수2가제1동(1120067000)","15,109","7,873","          1.92","7,873","7,236","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","10,263","5,326","          1.93","5,116","5,147","          0.99"
"서울특별시 성동구 송정동(1120072000)","10,033","5,457","          1.84","5,311","4,722","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,711","7,415","          1.58","6,026","5,685","          1.06"
"서울특별시 광진구 (1121500000)","337,071","169,648","          1.99","162,329","174,742","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,434","18,239","          1.28","11,161","12,273","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,425","11,415","          1.70","9,589","9,836","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,385","8,583","          1.79","7,344","8,041","          0.91"
"서울특별시 광진구 중곡제2동(1121575000)","20,959","10,675","          1.96","9,868","11,091","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,955","8,553","          1.87","7,899","8,056","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","27,919","13,120","          2.13","13,644","14,275","          0.96"
"서울특별시 광진구 능동(1121578000)","11,171","6,418","          1.74","5,129","6,042","          0.85"
"서울특별시 광진구 광장동(1121581000)","34,073","11,797","          2.89","16,460","17,613","          0.93"
"서울특별시 광진구 자양제1동(1121582000)","21,906","11,973","          1.83","10,664","11,242","          0.95"
"서울특별시 광진구 자양제2동(1121583000)","23,818","10,860","          2.19","11,564","12,254","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,536","11,023","          2.50","13,165","14,371","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,986","10,269","          1.75","8,964","9,022","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","23,414","13,113","          1.79","11,163","12,251","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","25,878","11,501","          2.25","12,409","13,469","          0.92"
"서울특별시 광진구 구의제3동(1121587000)","28,212","12,109","          2.33","13,306","14,906","          0.89"
"서울특별시 동대문구 (1123000000)","337,293","170,766","          1.98","165,962","171,331","          0.97"
"서울특별시 동대문구 용신동(1123053600)","34,925","20,313","          1.72","17,368","17,557","          0.99"
"서울특별시 동대문구 제기동(1123054500)","24,138","13,479","          1.79","12,356","11,782","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,728","14,810","          1.94","14,293","14,435","          0.99"
"서울특별시 동대문구 전농제2동(1123057000)","18,123","7,540","          2.40","8,687","9,436","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","28,111","12,852","          2.19","13,543","14,568","          0.93"
"서울특별시 동대문구 답십리제2동(1123061000)","27,753","12,517","          2.22","13,425","14,328","          0.94"
"서울특별시 동대문구 장안제1동(1123065000)","38,015","18,511","          2.05","18,771","19,244","          0.98"
"서울특별시 동대문구 장안제2동(1123066000)","32,342","14,166","          2.28","16,064","16,278","          0.99"
"서울특별시 동대문구 청량리동(1123070500)","18,620","9,750","          1.91","9,285","9,335","          0.99"
"서울특별시 동대문구 회기동(1123071000)","10,533","6,755","          1.56","5,054","5,479","          0.92"
"서울특별시 동대문구 휘경제1동(1123072000)","14,016","7,880","          1.78","6,582","7,434","          0.89"
"서울특별시 동대문구 휘경제2동(1123073000)","24,363","12,684","          1.92","12,152","12,211","          1.00"
"서울특별시 동대문구 이문제1동(1123074000)","17,995","10,785","          1.67","8,922","9,073","          0.98"
"서울특별시 동대문구 이문제2동(1123075000)","19,631","8,724","          2.25","9,460","10,171","          0.93"
"서울특별시 중랑구 (1126000000)","385,129","187,776","          2.05","189,306","195,823","          0.97"
"서울특별시 중랑구 면목제2동(1126052000)","23,839","12,237","          1.95","11,871","11,968","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","18,397","8,934","          2.06","9,141","9,256","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,674","6,453","          2.27","7,351","7,323","          1.00"
"서울특별시 중랑구 면목본동(1126056500)","33,121","17,784","          1.86","16,349","16,772","          0.97"
"서울특별시 중랑구 면목제7동(1126057000)","21,514","10,616","          2.03","10,745","10,769","          1.00"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,381","12,734","          1.91","12,078","12,303","          0.98"
"서울특별시 중랑구 상봉제1동(1126058000)","23,456","10,129","          2.32","11,386","12,070","          0.94"
"서울특별시 중랑구 상봉제2동(1126059000)","20,242","12,346","          1.64","9,728","10,514","          0.93"
"서울특별시 중랑구 중화제1동(1126060000)","19,061","8,989","          2.12","9,392","9,669","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","24,371","13,615","          1.79","12,507","11,864","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","34,077","15,005","          2.27","16,254","17,823","          0.91"
"서울특별시 중랑구 묵제2동(1126063000)","18,385","9,286","          1.98","9,007","9,378","          0.96"
"서울특별시 중랑구 망우본동(1126065500)","35,571","17,623","          2.02","17,585","17,986","          0.98"
"서울특별시 중랑구 망우제3동(1126066000)","15,941","8,226","          1.94","8,020","7,921","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","38,129","14,844","          2.57","18,401","19,728","          0.93"
"서울특별시 중랑구 신내2동(1126069000)","19,970","8,955","          2.23","9,491","10,479","          0.91"
"서울특별시 성북구 (1129000000)","430,170","197,673","          2.18","206,753","223,417","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,246","8,194","          1.98","7,567","8,679","          0.87"
"서울특별시 성북구 삼선동(1129055500)","22,433","11,496","          1.95","10,679","11,754","          0.91"
"서울특별시 성북구 동선동(1129057500)","15,077","9,621","          1.57","6,277","8,800","          0.71"
"서울특별시 성북구 돈암제1동(1129058000)","14,404","6,058","          2.38","6,713","7,691","          0.87"
"서울특별시 성북구 돈암제2동(1129059000)","23,490","8,505","          2.76","11,108","12,382","          0.90"
"서울특별시 성북구 안암동(1129060000)","15,096","9,859","          1.53","7,625","7,471","          1.02"
"서울특별시 성북구 보문동(1129061000)","16,303","8,145","          2.00","7,803","8,500","          0.92"
"서울특별시 성북구 정릉제1동(1129062000)","17,940","7,365","          2.44","8,573","9,367","          0.92"
"서울특별시 성북구 정릉제2동(1129063000)","22,675","9,894","          2.29","10,955","11,720","          0.93"
"서울특별시 성북구 정릉제3동(1129064000)","15,142","8,222","          1.84","7,540","7,602","          0.99"
"서울특별시 성북구 정릉제4동(1129065000)","24,415","10,824","          2.26","11,695","12,720","          0.92"
"서울특별시 성북구 길음제1동(1129066000)","34,796","12,442","          2.80","16,476","18,320","          0.90"
"서울특별시 성북구 길음제2동(1129068500)","21,621","8,634","          2.50","10,377","11,244","          0.92"
"서울특별시 성북구 종암동(1129070500)","38,129","17,184","          2.22","18,862","19,267","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","25,955","10,862","          2.39","12,506","13,449","          0.93"
"서울특별시 성북구 월곡제2동(1129072500)","19,188","9,729","          1.97","9,173","10,015","          0.92"
"서울특별시 성북구 장위제1동(1129076000)","23,801","10,714","          2.22","11,596","12,205","          0.95"
"서울특별시 성북구 장위제2동(1129077000)","13,372","6,656","          2.01","6,573","6,799","          0.97"
"서울특별시 성북구 장위제3동(1129078000)","15,727","6,493","          2.42","7,700","8,027","          0.96"
"서울특별시 성북구 석관동(1129081000)","34,360","16,776","          2.05","16,955","17,405","          0.97"
"서울특별시 강북구 (1130500000)","293,119","144,506","          2.03","142,254","150,865","          0.94"
"서울특별시 강북구 삼양동(1130553400)","22,848","10,909","          2.09","11,388","11,460","          0.99"
"서울특별시 강북구 미아동(1130553500)","21,155","11,684","          1.81","10,145","11,010","          0.92"
"서울특별시 강북구 송중동(1130554500)","29,215","14,011","          2.09","14,070","15,145","          0.93"
"서울특별시 강북구 송천동(1130555500)","25,521","13,356","          1.91","12,623","12,898","          0.98"
"서울특별시 강북구 삼각산동(1130557500)","30,756","11,495","          2.68","14,745","16,011","          0.92"
"서울특별시 강북구 번1동(1130559500)","18,099","10,428","          1.74","9,094","9,005","          1.01"
"서울특별시 강북구 번2동(1130560300)","15,256","7,503","          2.03","7,364","7,892","          0.93"
"서울특별시 강북구 번3동(1130560800)","16,300","7,429","          2.19","7,613","8,687","          0.88"
"서울특별시 강북구 수유1동(1130561500)","20,251","10,488","          1.93","9,948","10,303","          0.97"
"서울특별시 강북구 수유2동(1130562500)","20,863","9,866","          2.11","9,923","10,940","          0.91"
"서울특별시 강북구 수유3동(1130563500)","23,017","13,441","          1.71","11,364","11,653","          0.98"
"서울특별시 강북구 우이동(1130564500)","20,195","9,594","          2.10","9,702","10,493","          0.92"
"서울특별시 강북구 인수동(1130566000)","29,643","14,302","          2.07","14,275","15,368","          0.93"
"서울특별시 도봉구 (1132000000)","310,853","138,384","          2.25","150,964","159,889","          0.94"
"서울특별시 도봉구 창제1동(1132051100)","24,309","10,992","          2.21","11,572","12,737","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","28,567","12,595","          2.27","13,883","14,684","          0.95"
"서울특별시 도봉구 창제3동(1132051300)","13,454","6,462","          2.08","6,694","6,760","          0.99"
"서울특별시 도봉구 창제4동(1132051400)","25,916","10,538","          2.46","12,425","13,491","          0.92"
"서울특별시 도봉구 창제5동(1132051500)","24,177","10,276","          2.35","11,575","12,602","          0.92"
"서울특별시 도봉구 도봉제1동(1132052100)","20,418","10,308","          1.98","10,218","10,200","          1.00"
"서울특별시 도봉구 도봉제2동(1132052200)","26,132","11,740","          2.23","12,767","13,365","          0.96"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,968","9,430","          2.22","10,053","10,915","          0.92"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,259","8,536","          2.14","8,700","9,559","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,757","8,245","          2.03","8,058","8,699","          0.93"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,308","7,106","          2.58","8,656","9,652","          0.90"
"서울특별시 도봉구 방학제1동(1132069000)","28,119","12,971","          2.17","13,945","14,174","          0.98"
"서울특별시 도봉구 방학제2동(1132070000)","19,032","9,268","          2.05","9,614","9,418","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","26,437","9,917","          2.67","12,804","13,633","          0.94"
"서울특별시 노원구 (1135000000)","502,820","217,926","          2.31","241,743","261,077","          0.93"
"서울특별시 노원구 월계1동(1135056000)","20,910","10,070","          2.08","10,765","10,145","          1.06"
"서울특별시 노원구 월계2동(1135057000)","25,947","11,808","          2.20","12,482","13,465","          0.93"
"서울특별시 노원구 월계3동(1135058000)","29,106","12,898","          2.26","13,920","15,186","          0.92"
"서울특별시 노원구 공릉1동(1135059500)","36,422","18,622","          1.96","17,693","18,729","          0.94"
"서울특별시 노원구 공릉2동(1135060000)","41,817","17,807","          2.35","20,406","21,411","          0.95"
"서울특별시 노원구 하계1동(1135061100)","26,568","12,225","          2.17","12,727","13,841","          0.92"
"서울특별시 노원구 하계2동(1135061200)","21,517","8,194","          2.63","10,211","11,306","          0.90"
"서울특별시 노원구 중계본동(1135061900)","23,375","8,225","          2.84","11,365","12,010","          0.95"
"서울특별시 노원구 중계1동(1135062100)","26,466","8,921","          2.97","12,898","13,568","          0.95"
"서울특별시 노원구 중계4동(1135062400)","19,417","8,236","          2.36","9,323","10,094","          0.92"
"서울특별시 노원구 중계2.3동(1135062500)","33,213","15,097","          2.20","15,199","18,014","          0.84"
"서울특별시 노원구 상계1동(1135063000)","37,588","15,671","          2.40","18,158","19,430","          0.93"
"서울특별시 노원구 상계2동(1135064000)","19,477","8,611","          2.26","9,583","9,894","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","25,113","11,618","          2.16","12,539","12,574","          1.00"
"서울특별시 노원구 상계5동(1135067000)","23,498","10,951","          2.15","11,378","12,120","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","31,915","13,870","          2.30","14,745","17,170","          0.86"
"서울특별시 노원구 상계8동(1135070000)","22,208","9,150","          2.43","10,588","11,620","          0.91"
"서울특별시 노원구 상계9동(1135071000)","19,921","8,323","          2.39","9,320","10,601","          0.88"
"서울특별시 노원구 상계10동(1135072000)","18,342","7,629","          2.40","8,443","9,899","          0.85"
"서울특별시 은평구 (1138000000)","465,627","214,070","          2.18","221,790","243,837","          0.91"
"서울특별시 은평구 녹번동(1138051000)","36,447","17,659","          2.06","17,138","19,309","          0.89"
"서울특별시 은평구 불광제1동(1138052000)","37,871","17,774","          2.13","17,819","20,052","          0.89"
"서울특별시 은평구 불광제2동(1138053000)","27,121","14,110","          1.92","13,095","14,026","          0.93"
"서울특별시 은평구 갈현제1동(1138055100)","15,587","7,889","          1.98","7,568","8,019","          0.94"
"서울특별시 은평구 갈현제2동(1138055200)","27,913","12,652","          2.21","13,194","14,719","          0.90"
"서울특별시 은평구 구산동(1138056000)","31,776","13,450","          2.36","15,512","16,264","          0.95"
"서울특별시 은평구 대조동(1138057000)","27,292","15,087","          1.81","12,633","14,659","          0.86"
"서울특별시 은평구 응암제1동(1138058000)","33,002","15,113","          2.18","15,512","17,490","          0.89"
"서울특별시 은평구 응암제2동(1138059000)","27,724","11,232","          2.47","13,412","14,312","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","23,894","12,583","          1.90","11,548","12,346","          0.94"
"서울특별시 은평구 역촌동(1138062500)","44,533","20,792","          2.14","20,926","23,607","          0.89"
"서울특별시 은평구 신사제1동(1138063100)","26,754","12,009","          2.23","12,841","13,913","          0.92"
"서울특별시 은평구 신사제2동(1138063200)","19,283","8,756","          2.20","9,583","9,700","          0.99"
"서울특별시 은평구 증산동(1138064000)","18,516","8,025","          2.31","9,025","9,491","          0.95"
"서울특별시 은평구 수색동(1138065000)","13,104","5,554","          2.36","6,387","6,717","          0.95"
"서울특별시 은평구 진관동(1138069000)","54,810","21,385","          2.56","25,597","29,213","          0.88"
"서울특별시 서대문구 (1141000000)","308,194","146,908","          2.10","146,671","161,523","          0.91"
"서울특별시 서대문구 천연동(1141052000)","16,734","7,641","          2.19","7,906","8,828","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","15,571","7,080","          2.20","7,449","8,122","          0.92"
"서울특별시 서대문구 충현동(1141056500)","19,850","10,097","          1.97","9,535","10,315","          0.92"
"서울특별시 서대문구 신촌동(1141058500)","20,366","14,837","          1.37","8,903","11,463","          0.78"
"서울특별시 서대문구 연희동(1141061500)","34,318","18,685","          1.84","16,402","17,916","          0.92"
"서울특별시 서대문구 홍제제1동(1141062000)","24,747","10,971","          2.26","11,555","13,192","          0.88"
"서울특별시 서대문구 홍제제3동(1141064000)","17,712","8,009","          2.21","8,506","9,206","          0.92"
"서울특별시 서대문구 홍제제2동(1141065500)","13,328","5,759","          2.31","6,240","7,088","          0.88"
"서울특별시 서대문구 홍은제1동(1141066000)","22,452","9,787","          2.29","10,857","11,595","          0.94"
"서울특별시 서대문구 홍은제2동(1141068500)","28,514","13,131","          2.17","13,695","14,819","          0.92"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,722","6,138","          2.72","8,025","8,697","          0.92"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,274","13,355","          2.19","14,107","15,167","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,703","6,849","          2.58","8,472","9,231","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","30,903","14,569","          2.12","15,019","15,884","          0.95"
"서울특별시 마포구 (1144000000)","365,447","180,807","          2.02","171,284","194,163","          0.88"
"서울특별시 마포구 아현동(1144055500)","27,437","11,490","          2.39","12,821","14,616","          0.88"
"서울특별시 마포구 공덕동(1144056500)","36,757","18,615","          1.97","17,194","19,563","          0.88"
"서울특별시 마포구 도화동(1144058500)","20,789","9,327","          2.23","9,913","10,876","          0.91"
"서울특별시 마포구 용강동(1144059000)","21,301","9,249","          2.30","10,068","11,233","          0.90"
"서울특별시 마포구 대흥동(1144060000)","14,488","8,805","          1.65","7,033","7,455","          0.94"
"서울특별시 마포구 염리동(1144061000)","16,781","7,791","          2.15","8,030","8,751","          0.92"
"서울특별시 마포구 신수동(1144063000)","22,235","10,027","          2.22","10,861","11,374","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,676","12,149","          2.03","11,780","12,896","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,466","15,389","          1.59","11,126","13,340","          0.83"
"서울특별시 마포구 합정동(1144068000)","16,654","9,256","          1.80","7,670","8,984","          0.85"
"서울특별시 마포구 망원제1동(1144069000)","19,376","10,172","          1.90","9,054","10,322","          0.88"
"서울특별시 마포구 망원제2동(1144070000)","18,204","8,411","          2.16","8,512","9,692","          0.88"
"서울특별시 마포구 연남동(1144071000)","14,528","8,495","          1.71","6,891","7,637","          0.90"
"서울특별시 마포구 성산제1동(1144072000)","18,679","9,437","          1.98","8,752","9,927","          0.88"
"서울특별시 마포구 성산제2동(1144073000)","39,067","19,503","          2.00","17,422","21,645","          0.80"
"서울특별시 마포구 상암동(1144074000)","30,009","12,691","          2.36","14,157","15,852","          0.89"
"서울특별시 양천구 (1147000000)","440,042","181,177","          2.43","215,195","224,847","          0.96"
"서울특별시 양천구 목1동(1147051000)","30,362","10,342","          2.94","14,604","15,758","          0.93"
"서울특별시 양천구 목2동(1147052000)","29,283","13,363","          2.19","14,182","15,101","          0.94"
"서울특별시 양천구 목3동(1147053000)","21,506","10,097","          2.13","10,254","11,252","          0.91"
"서울특별시 양천구 목4동(1147054000)","24,774","10,055","          2.46","12,133","12,641","          0.96"
"서울특별시 양천구 목5동(1147055000)","40,615","13,389","          3.03","20,121","20,494","          0.98"
"서울특별시 양천구 신월1동(1147056000)","19,998","10,260","          1.95","10,246","9,752","          1.05"
"서울특별시 양천구 신월2동(1147057000)","20,343","8,464","          2.40","9,952","10,391","          0.96"
"서울특별시 양천구 신월3동(1147058000)","14,688","7,825","          1.88","7,727","6,961","          1.11"
"서울특별시 양천구 신월4동(1147059000)","17,600","6,874","          2.56","8,568","9,032","          0.95"
"서울특별시 양천구 신월5동(1147060000)","14,313","6,436","          2.22","7,101","7,212","          0.98"
"서울특별시 양천구 신월6동(1147061000)","13,867","5,369","          2.58","6,772","7,095","          0.95"
"서울특별시 양천구 신월7동(1147061100)","18,959","9,023","          2.10","9,245","9,714","          0.95"
"서울특별시 양천구 신정1동(1147062000)","19,830","6,968","          2.85","9,618","10,212","          0.94"
"서울특별시 양천구 신정2동(1147063000)","18,901","6,877","          2.75","9,288","9,613","          0.97"
"서울특별시 양천구 신정3동(1147064000)","50,234","19,798","          2.54","24,325","25,909","          0.94"
"서울특별시 양천구 신정4동(1147065000)","32,340","16,381","          1.97","15,726","16,614","          0.95"
"서울특별시 양천구 신정6동(1147067000)","24,069","8,189","          2.94","11,692","12,377","          0.94"
"서울특별시 양천구 신정7동(1147068000)","28,360","11,467","          2.47","13,641","14,719","          0.93"
"서울특별시 강서구 (1150000000)","568,666","274,186","          2.07","272,826","295,840","          0.92"
"서울특별시 강서구 염창동(1150051000)","41,420","16,492","          2.51","19,904","21,516","          0.93"
"서울특별시 강서구 등촌제1동(1150052000)","24,757","14,074","          1.76","11,406","13,351","          0.85"
"서울특별시 강서구 등촌제2동(1150053000)","19,655","8,575","          2.29","9,543","10,112","          0.94"
"서울특별시 강서구 등촌제3동(1150053500)","29,671","15,050","          1.97","14,029","15,642","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,751","28,407","          1.82","25,136","26,615","          0.94"
"서울특별시 강서구 화곡제2동(1150055000)","17,472","8,261","          2.11","8,447","9,025","          0.94"
"서울특별시 강서구 화곡제3동(1150056000)","21,388","9,749","          2.19","10,171","11,217","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","20,135","9,725","          2.07","9,881","10,254","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","33,616","17,456","          1.93","16,263","17,353","          0.94"
"서울특별시 강서구 화곡제6동(1150059100)","24,990","13,166","          1.90","11,972","13,018","          0.92"
"서울특별시 강서구 화곡제8동(1150059300)","23,977","11,865","          2.02","11,576","12,401","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","34,096","20,845","          1.64","15,476","18,620","          0.83"
"서울특별시 강서구 가양제2동(1150060400)","13,785","8,107","          1.70","6,510","7,275","          0.89"
"서울특별시 강서구 가양제3동(1150060500)","14,504","7,780","          1.86","6,726","7,778","          0.86"
"서울특별시 강서구 발산제1동(1150061100)","35,942","13,465","          2.67","16,925","19,017","          0.89"
"서울특별시 강서구 우장산동(1150061500)","43,348","16,508","          2.63","20,708","22,640","          0.91"
"서울특별시 강서구 공항동(1150062000)","30,225","13,928","          2.17","15,256","14,969","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","42,548","17,346","          2.45","20,731","21,817","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","23,042","12,122","          1.90","11,389","11,653","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","22,344","11,265","          1.98","10,777","11,567","          0.93"
"서울특별시 구로구 (1153000000)","395,422","184,142","          2.15","194,182","201,240","          0.96"
"서울특별시 구로구 신도림동(1153051000)","35,799","13,952","          2.57","17,297","18,502","          0.93"
"서울특별시 구로구 구로제1동(1153052000)","20,618","8,340","          2.47","10,058","10,560","          0.95"
